restaurant_id,name,city,locality,cuisines,avg_cost_for_two,currency,rating,votes
81,Kadalu Sea Food Restaurant,Bengaluru,Banashankari,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500.0,INR,3.8,153
82,Frozen Bottle,Bengaluru,Banashankari,"Beverages, Desserts, Ice Cream",400.0,INR,4.2,146
83,Parimala Sweets,Bengaluru,Banashankari,"Mithai, Street Food",200.0,INR,3.5,14
84,Vaishali Deluxe,Bengaluru,Banashankari,"North Indian, Chinese",700.0,INR,3.8,42
85,Chill Out,Bengaluru,Banashankari,"South Indian, Chinese",100.0,INR,0.0,0
86,The Big O Bakes,Bengaluru,Banashankari,"Bakery, Desserts",300.0,INR,4.0,66
87,Meghana Foods,Bengaluru,Banashankari,"Biryani, North Indian, Chinese",600.0,INR,4.4,4401
88,Krishna Sagar,Bengaluru,Banashankari,North Indian,200.0,INR,3.5,31
89,Dessert Rose,Bengaluru,Banashankari,Desserts,500.0,INR,3.5,7
90,Chickpet Donne Biryani House,Bengaluru,Banashankari,Biryani,250.0,INR,3.7,21
91,Me And My Cake,Bengaluru,Banashankari,"Bakery, Desserts",500.0,INR,0.0,0
92,Sunsadm,Bengaluru,Banashankari,South Indian,400.0,INR,0.0,0
93,Annapooraneshwari Mess,Bengaluru,Banashankari,South Indian,200.0,INR,0.0,0
94,Thanco's Natural Ice Creams,Bengaluru,Banashankari,Ice Cream,300.0,INR,3.2,9
95,Nandhini Deluxe,Bengaluru,Banashankari,North Indian,600.0,INR,2.6,283
96,Vi Ra's Bar and Restaurant,Bengaluru,Banashankari,"South Indian, North Indian, Chinese",800.0,INR,3.3,62
97,Kaggis,Bengaluru,Banashankari,"Fast Food, Bakery",250.0,INR,3.8,64
98,Ayda Persian Kitchen,Bengaluru,Banashankari,"North Indian, Iranian",950.0,INR,3.7,39
99,Chatar Patar,Bengaluru,Banashankari,"Fast Food, Street Food",300.0,INR,3.7,65
100,Polar Bear,Bengaluru,Banashankari,"Ice Cream, Desserts, Beverages, Sandwich",400.0,INR,3.8,71
101,Kidambi's Kitchen,Bengaluru,Banashankari,South Indian,300.0,INR,3.5,52
102,Mane Thindi,Bengaluru,Banashankari,South Indian,200.0,INR,3.7,130
103,Kotian Karavali Restaurant,Bengaluru,Banashankari,"South Indian, Biryani",300.0,INR,3.5,10
104,Floured-Baked With Love,Bengaluru,Banashankari,Bakery,400.0,INR,3.8,45
106,Cakes & Slices,Bengaluru,Banashankari,"Bakery, Desserts",300.0,INR,3.5,13
107,Spice 9,Bengaluru,Banashankari,"Biryani, North Indian, Chinese, Fast Food",300.0,INR,3.4,8
108,Coffee Shopee,Bengaluru,Banashankari,Beverages,250.0,INR,0.0,0
109,Naveen Kabab & Biriyani Mane,Bengaluru,Banashankari,Biryani,300.0,INR,3.2,9
110,Katriguppe Donne Biryani,Bengaluru,Banashankari,North Indian,300.0,INR,3.2,4
111,Hari Super Sandwich,Bengaluru,Banashankari,"Sandwich, Pizza, Beverages",200.0,INR,0.0,0
112,Atithi Point Ande Ka Funda,Bengaluru,Banashankari,North Indian,150.0,INR,3.1,29
113,Just Bake,Bengaluru,Banashankari,"Bakery, Desserts",400.0,INR,3.4,8
114,Dharwad Line Bazaar Mishra Pedha,Bengaluru,Banashankari,Mithai,150.0,INR,0.0,0
115,Cake Bite,Bengaluru,Banashankari,Bakery,300.0,INR,0.0,0
116,Aarush's Food Plaza,Bengaluru,Banashankari,"North Indian, Street Food",200.0,INR,0.0,0
117,Wood Stove,Bengaluru,Banashankari,South Indian,150.0,INR,0.0,0
118,Kulfi & More,Bengaluru,Banashankari,"Ice Cream, Desserts, Juices",150.0,INR,0.0,0
119,Kannadigas Karavali,Bengaluru,Banashankari,"Mangalorean, South Indian, North Indian",250.0,INR,0.0,0
120,K27 - The Pub,Bengaluru,Banashankari,"Chinese, North Indian",1000.0,INR,3.1,30
121,Bengaluru Coffee House,Bengaluru,Banashankari,"South Indian, North Indian, Chinese, Street Food",300.0,INR,4.1,201
122,New Mangalore Lunch Home,Bengaluru,Banashankari,"Mangalorean, South Indian, North Indian",200.0,INR,3.3,7
123,Coffee Bytes,Bengaluru,Banashankari,"Fast Food, South Indian",100.0,INR,3.1,6
124,Parjanya Chat Zone,Bengaluru,Banashankari,"Street Food, Fast Food",200.0,INR,3.3,17
125,Kwality Wall's Swirl's Happiness Station,Bengaluru,Banashankari,"Ice Cream, Desserts",200.0,INR,2.9,25
126,Soms Kitchen & Bakes,Bengaluru,Banashankari,"South Indian, North Indian, Continental",400.0,INR,0.0,0
